LGA,State,Case,Year
Lagos Island,Lagos,596,2024
Eti Osa,Lagos,576,2024
Lagos Mainland,Lagos,562,2024
Yola North,Adamawa,486,2024
Gwoza,Borno,450,2024
Alimosho,Lagos,422,2024
Ajeromi/Ifelodun,Lagos,384,2024
Epe,Lagos,285,2024
Surulere,Lagos,271,2024
Auyo,Jigawa,216,2024
Ikorodu,Lagos,198,2024
Kosofe,Lagos,196,2024
Apapa,Lagos,185,2024
Southern Ijaw,Bayelsa,172,2024
Mushin,Lagos,143,2024
Ojo,Lagos,125,2024
Shomolu,Lagos,122,2024
Oshodi/Isolo,Lagos,113,2024
Yenegoa,Bayelsa,68,2024
Talata Mafara,Zamfara,57,2024
Nembe,Bayelsa,54,2024
Ekeremor,Bayelsa,52,2024
Ogbia,Bayelsa,48,2024
Kolokuma/Opokuma,Bayelsa,47,2024
Umu-Nneochi,Abia,40,2024
Andoni,Rivers,36,2024
Sagbama,Bayelsa,35,2024
Warri South-West,Delta,34,2024
Giade,Bauchi,33,2024
Afikpo North,Ebonyi,28,2024
Kokona,Nassarawa,19,2024
Etung,Cross River,16,2024
Bende,Abia,15,2024
Biase,Cross River,13,2024
Okitipupa,Ondo,11,2024
Akpabuyo,Cross River,2,2024
Bakassi,Cross River,1,2024
