LGA,State,Case,Year
Bauchi,Bauchi,9336,2021
Dutse,Jigawa,3073,2021
Hadejia,Jigawa,3060,2021
Zurmi,Zamfara,2889,2021
Anka,Zamfara,2637,2021
Shinkafi,Zamfara,2342,2021
Funtua,Katsina,2046,2021
Gusau,Zamfara,2012,2021
Sumaila,Kano,1923,2021
Toro,Bauchi,1921,2021
Maiduguri,Borno,1658,2021
Ganjuwa,Bauchi,1311,2021
Tafawa-Balewa,Bauchi,1107,2021
Birnin Kudu,Jigawa,970,2021
Gwadabawa,Sokoto,969,2021
Dange Shuni,Sokoto,958,2021
Damaturu,Yobe,896,2021
Ningi,Bauchi,861,2021
Bichi,Kano,837,2021
Gwoza,Borno,960,2021
Damaturu,Yobe,800,2021
Illela,Sokoto,722,2021
Warji,Bauchi,691,2021
Kaugama,Jigawa,670,2021
Sokoto North,Sokoto,642,2021
Jos North,Plateau,614,2021
Dass,Bauchi,605,2021
