LGA,State,Case,Year
Umuahia North,Abia,71,2023
Ekeremor,Bayelsa,21,2023
Nembe,Bayelsa,30,2023
Southern Ijaw,Bayelsa,72,2023
Yenegoa,Bayelsa,76,2023
Abi,Cross River,80,2023
Akamkpa,Cross River,12,2023
Biase,Cross River,14,2023
Calabar Municipal,Cross River,15,2023
Etung,Cross River,29,2023
Ikom,Cross River,44,2023
Obubra,Cross River,515,2023
Afikpo North,Ebonyi,35,2023
Ikwo,Ebonyi,146,2023
Ishielu,Ebonyi,7,2023
Onicha,Ebonyi,11,2023
Batsari,Katsina,30,2023
Charanchi,Katsina,5,2023
Daura,Katsina,29,2023
Funtua,Katsina,37,2023
Kaita,Katsina,31,2023
Kankara,Katsina,27,2023
Sabuwa,Katsina,68,2023
Mokwa,Niger,62,2023
Ijebu North,Ogun,280,2023
Akure North,Ondo,3,2023
Ose,Ondo,3,2023
Yabo,Sokoto,3,2023
Anka,Zamfara,46,2023
Bakura,Zamfara,58,2023
Bungudu,Zamfara,192,2023
Gusau,Zamfara,371,2023
Maradun,Zamfara,53,2023
Talata Mafara,Zamfara,65,2023
