lganame,statename,num_health_facilities,longitude,population,lgaarea,popdensity,Facilities_per_10k_people,water_per_lga,NEAR_DIST_Health,NEAR_DIST_Water
Eastern Obolo,Akwa Ibom,13,7.790010000000000,38295.613550000001851,158.1023712,242.2203674,3.3946447,19,1612.704460365209343,222.811186246426303
Ekeremor,Bayelsa,43,5.604680000000000,249647.627399999997579,1835.420776,136.016571,1.7224277,195,5774.062590051962616,569.231681808211988
Degema,Rivers,5,6.968078613000000,57489.073060000002442,664.3486938,86.5344849,0.8697305,65,3738.526303267272851,136.337201584173215
Andoni,Rivers,35,7.377610402680000,115638.808999999993830,341.5458374,338.5747986,3.0266654,229,2620.339009459140470,366.721672790486593
Akpabuyo,Cross River,76,8.456651400000000,122817.206999999994878,784.2711182,156.6004486,6.1880579,11,1103.386955124161886,7624.978620474677882
Oron,Akwa Ibom,30,8.232650000000000,118063.813299999994342,146.5169983,805.8028564,2.5409987,1,1928.862144461437310,1370.288006748155567
Bakassi,Cross River,31,8.454885800000000,34080.319360000001325,269.8708496,126.2838135,9.096159,11,2721.281247714379333,233.672808864587864
Calabar South,Cross River,84,8.319781700000000,247819.220899999985704,153.839798,1610.89148,3.3895676,0,1033.084797878056406,213.191773857215878
Udung Uko,Akwa Ibom,12,8.247373333000001,21318.444279999999708,66.0641632,322.6930237,5.6289287,0,1992.352919012309485,502.885887658425816
Southern Ijaw,Bayelsa,69,6.125880000000000,288675.053799999994226,2695.154297,107.1089172,2.3902309,281,1924.318354047816683,238.400992216022246
Iwajowa,Oyo,31,2.724116300000000,104129.314799999992829,2525.466553,41.2317123,2.9770675,1,2657.525417510405077,23303.727830075244128
Ibarapa North,Oyo,30,3.281773300000000,83844.024810000002617,1260.41919,66.5207443,3.5780725,2,3391.153103911774451,2892.648924264976358
Okrika,Rivers,34,7.116080000000000,180151.760000000009313,607.9611206,296.3211975,1.8872976,157,5290.504384419101370,511.663018059178967
Imeko Afon,Ogun,40,2.832913333000000,125031.439400000002934,1899.999634,65.8060303,3.1991954,0,1048.164106378634642,11767.039683964028882
Ibeno,Akwa Ibom,23,7.918670000000000,92166.670219999999972,266.9259338,345.2893066,2.4954791,15,4159.596601640630979,1322.104974829590901
Nembe,Bayelsa,26,6.405801667000000,64903.997389999996813,836.6606445,77.575058,4.0059166,229,4228.103219164840084,249.392368252898478
Ilaje,Ondo,73,4.783508301000000,317629.275000000023283,1354.62085,234.478363,2.2982769,152,2713.516406717004884,3230.392292733858540
Brass,Bayelsa,39,6.295690000000000,132042.967499999998836,1313.634399,100.5172882,2.953584,489,2852.022631767403709,1639.210018394291637
Warri North,Delta,28,5.463755900000000,118901.459799999996903,2193.709473,54.2010956,2.3548913,342,5439.711500416174204,289.089182855219065
Ese Odo,Ondo,37,4.863031000000000,109320.434099999998580,762.8925171,143.2973022,3.3845456,12,4752.918846293028764,559.281568471506148
Jalingo,Taraba,81,11.357727049999999,308168.500300000014249,263.6205139,1168.98523,2.6284323,1,3367.726982266758569,2641.139027357527539
Burutu,Delta,33,5.725280762000000,185938.427900000009686,1794.265381,103.6292801,1.7747811,234,6838.055765982553567,963.470264494749244
Girei,Adamawa,44,12.486877440000001,250603.925199999997858,1041.328491,240.6578979,1.7557586,14,5205.914144611202573,4760.068267045626271
Yorro,Taraba,68,11.401489260000000,157366.908900000009453,1177.115356,133.6885986,4.3211117,11,2623.772581280777104,5056.282014878683185
Ardo-Kola,Taraba,73,11.273681640000000,197653.388700000010431,2060.039795,95.9463959,3.6933341,3,4131.594374979421445,2737.820485294754235
Yola North,Adamawa,76,12.453228330000000,323369.630799999984447,75.0703125,4307.556641,2.3502517,6,656.444062648379486,935.108999767337764
Yola South,Adamawa,79,12.438110350000001,570232.527400000020862,910.1501465,626.5257568,1.3853997,46,2515.717412548183347,1324.653662118299735
Mbo,Akwa Ibom,25,8.263270000000000,71203.344840000005206,297.3223572,239.4819794,3.511071,16,1153.148025741987340,1715.162135199259865
Lau,Taraba,64,11.180725100000000,146955.120200000004843,1527.405884,96.2122269,4.3550711,15,4494.029638367423104,400.889948085837773
Ibarapa Central,Oyo,25,3.248065000000000,113369.777499999996508,433.4613037,261.5453186,2.2051733,0,1646.915118958286484,1098.467405036303035
Abeokuta North,Ogun,139,3.346846667000000,487998.844299999997020,787.3618774,619.7897949,2.8483675,0,1842.393193619201838,9234.814459061139132
Bonny,Rivers,21,7.165527344000000,131436.543299999990268,241.4020844,544.4714355,1.5977292,52,772.864364718886577,138.020273189579939
Warri South-West,Delta,14,5.726501465000000,56674.350659999996424,1278.532715,44.3276482,2.4702532,389,11259.318891630928192,17.357686113729248
Warri South,Delta,107,5.754230000000000,453134.911299999977928,544.2268677,832.6213379,2.3613276,71,2535.380124766024892,458.833773848942542
Akuku Toru,Rivers,13,6.644820000000000,118621.919500000003609,1415.313232,83.8131943,1.0959189,170,9774.586310403648895,94.514112564996537
Isokan,Osun,41,4.195312500000000,155877.453899999993155,265.6108093,586.8641357,2.6302714,0,1694.266402432856694,339.575012291946393
Irewole,Osun,44,4.184338333000000,181159.620200000004843,285.6218872,634.2637939,2.4287972,0,2476.338580649022333,907.881156693817047
Essien Udim,Akwa Ibom,33,7.699980000000000,213603.231999999989057,298.1043701,716.5383911,1.5449204,0,3296.818930195219309,3468.146205150717378
Onna,Akwa Ibom,28,7.837070000000000,70111.024629999999888,127.5948486,549.4816284,3.9936657,1,440.646389740675602,1483.561741827443257
Udenu,Enugu,92,7.432198800000000,435247.956300000019837,303.6397705,1433.435303,2.1137376,2,723.223867002423162,1546.265339843580477
Ogu Bolo,Rivers,11,7.156494140000000,47052.494310000001860,184.1240692,255.54776,2.3378143,248,1978.398757579006769,94.672469433379788
Enugu South,Enugu,94,7.492675781000000,267447.795700000016950,90.7738876,2946.307617,3.5147047,0,1217.330965768400574,1165.636417542328900
Ikot Ekpene,Akwa Ibom,49,7.711730957000000,284961.859999999986030,160.9328461,1770.687988,1.7195283,2,712.082164812420274,3049.274916389491409
Nsit Ubium,Akwa Ibom,29,7.991462300000000,94412.390280000006896,205.236969,460.0164795,3.0716307,0,2078.618023464338876,4448.354380880731696
Urue Offong/Oruko,Akwa Ibom,17,8.163513182999999,46706.549109999999928,116.0714569,402.3947754,3.6397464,0,1006.159575644982738,7482.768307443013327
