lganame,statename,num_health_facilities,longitude,population,lgaarea,popdensity,Facilities_per_10k_people,water_per_lga,NEAR_DIST_Health,NEAR_DIST_Water,Case,Year
Eastern Obolo,Akwa Ibom,13,7.79001,38295.61355,158.1023712,242.2203674,3.3946447,19,1612.7044603652091,222.81118624642633,0.0,2025.0
Eastern Obolo,Akwa Ibom,13,7.79001,38295.61355,158.1023712,242.2203674,3.3946447,19,1612.7044603652091,222.81118624642633,0.0,2024.0
Eastern Obolo,Akwa Ibom,13,7.79001,38295.61355,158.1023712,242.2203674,3.3946447,19,1612.7044603652091,222.81118624642633,0.0,2023.0
Eastern Obolo,Akwa Ibom,13,7.79001,38295.61355,158.1023712,242.2203674,3.3946447,19,1612.7044603652091,222.81118624642633,0.0,2022.0
Eastern Obolo,Akwa Ibom,13,7.79001,38295.61355,158.1023712,242.2203674,3.3946447,19,1612.7044603652091,222.81118624642633,0.0,2021.0
Ekeremor,Bayelsa,43,5.60468,249647.6274,1835.420776,136.016571,1.7224277,195,5774.062590051963,569.231681808212,88.0,2025.0
Ekeremor,Bayelsa,43,5.60468,249647.6274,1835.420776,136.016571,1.7224277,195,5774.062590051963,569.231681808212,52.0,2024.0
Ekeremor,Bayelsa,43,5.60468,249647.6274,1835.420776,136.016571,1.7224277,195,5774.062590051963,569.231681808212,0.0,2024.0
Ekeremor,Bayelsa,43,5.60468,249647.6274,1835.420776,136.016571,1.7224277,195,5774.062590051963,569.231681808212,21.0,2023.0
Ekeremor,Bayelsa,43,5.60468,249647.6274,1835.420776,136.016571,1.7224277,195,5774.062590051963,569.231681808212,0.0,2021.0
Degema,Rivers,5,6.968078613,57489.07306,664.3486938,86.5344849,0.8697305,65,3738.526303267273,136.3372015841732,0.0,2025.0
Degema,Rivers,5,6.968078613,57489.07306,664.3486938,86.5344849,0.8697305,65,3738.526303267273,136.3372015841732,0.0,2024.0
Degema,Rivers,5,6.968078613,57489.07306,664.3486938,86.5344849,0.8697305,65,3738.526303267273,136.3372015841732,0.0,2023.0
Degema,Rivers,5,6.968078613,57489.07306,664.3486938,86.5344849,0.8697305,65,3738.526303267273,136.3372015841732,41.0,2022.0
Degema,Rivers,5,6.968078613,57489.07306,664.3486938,86.5344849,0.8697305,65,3738.526303267273,136.3372015841732,0.0,2022.0
Andoni,Rivers,35,7.37761040268,115638.809,341.5458374,338.5747986,3.0266654,229,2620.3390094591405,366.72167279048654,60.0,2025.0
Andoni,Rivers,35,7.37761040268,115638.809,341.5458374,338.5747986,3.0266654,229,2620.3390094591405,366.72167279048654,36.0,2024.0
Andoni,Rivers,35,7.37761040268,115638.809,341.5458374,338.5747986,3.0266654,229,2620.3390094591405,366.72167279048654,0.0,2024.0
Andoni,Rivers,35,7.37761040268,115638.809,341.5458374,338.5747986,3.0266654,229,2620.3390094591405,366.72167279048654,0.0,2022.0
Andoni,Rivers,35,7.37761040268,115638.809,341.5458374,338.5747986,3.0266654,229,2620.3390094591405,366.72167279048654,0.0,2021.0
Akpabuyo,Cross River,76,8.4566514,122817.207,784.2711182,156.6004486,6.1880579,11,1103.386955124162,7624.978620474679,0.0,2025.0
Akpabuyo,Cross River,76,8.4566514,122817.207,784.2711182,156.6004486,6.1880579,11,1103.386955124162,7624.978620474679,2.0,2024.0
Akpabuyo,Cross River,76,8.4566514,122817.207,784.2711182,156.6004486,6.1880579,11,1103.386955124162,7624.978620474679,0.0,2024.0
Akpabuyo,Cross River,76,8.4566514,122817.207,784.2711182,156.6004486,6.1880579,11,1103.386955124162,7624.978620474679,0.0,2022.0
Akpabuyo,Cross River,76,8.4566514,122817.207,784.2711182,156.6004486,6.1880579,11,1103.386955124162,7624.978620474679,0.0,2021.0
Oron,Akwa Ibom,30,8.23265,118063.8133,146.5169983,805.8028564,2.5409987,1,1928.8621444614373,1370.2880067481556,0.0,2025.0
