LGA,State,Case,Year
Aba North,Abia,0.0,2025.0
Aba South,Abia,0.0,2025.0
Arochukwu,Abia,0.0,2025.0
Bende,Abia,0.0,2025.0
Ikwuano,Abia,0.0,2025.0
Isiala-Ngwa North,Abia,0.0,2025.0
Isiala-Ngwa South,Abia,0.0,2025.0
Isuikwuato,Abia,0.0,2025.0
Obi Nwga,Abia,0.0,2025.0
Ohafia,Abia,0.0,2025.0
Osisioma Ngwa,Abia,0.0,2025.0
Ugwunagbo,Abia,0.0,2025.0
Ukwa East,Abia,0.0,2025.0
Ukwa West,Abia,0.0,2025.0
Umu-Nneochi,Abia,0.0,2025.0
Umuahia North,Abia,30.0,2025.0
Umuahia South,Abia,0.0,2025.0
Demsa,Adamawa,0.0,2025.0
Fufore,Adamawa,0.0,2025.0
Ganye,Adamawa,0.0,2025.0
Girei,Adamawa,0.0,2025.0
Gombi,Adamawa,0.0,2025.0
Guyuk,Adamawa,0.0,2025.0
Hong,Adamawa,0.0,2025.0
Jada,Adamawa,0.0,2025.0
Lamurde,Adamawa,0.0,2025.0
Madagali,Adamawa,0.0,2025.0
Maiha,Adamawa,0.0,2025.0
Mayo-Belwa,Adamawa,0.0,2025.0
Michika,Adamawa,0.0,2025.0
Mubi North,Adamawa,0.0,2025.0
Mubi South,Adamawa,0.0,2025.0
Numan,Adamawa,0.0,2025.0
Shelleng,Adamawa,0.0,2025.0
Song,Adamawa,0.0,2025.0
Toungo,Adamawa,0.0,2025.0
Yola North,Adamawa,0.0,2025.0
Yola South,Adamawa,0.0,2025.0
Abak,Akwa Ibom,0.0,2025.0
Eastern Obolo,Akwa Ibom,0.0,2025.0
Eket,Akwa Ibom,0.0,2025.0
Esit Eket,Akwa Ibom,0.0,2025.0
Essien Udim,Akwa Ibom,0.0,2025.0
Etim Ekpo,Akwa Ibom,0.0,2025.0
Etinan,Akwa Ibom,0.0,2025.0
Ibeno,Akwa Ibom,0.0,2025.0
Ibesikpo Asutan,Akwa Ibom,0.0,2025.0
Ibiono Ibom,Akwa Ibom,0.0,2025.0
Ika,Akwa Ibom,0.0,2025.0
Ikono,Akwa Ibom,0.0,2025.0
Ikot Abasi,Akwa Ibom,0.0,2025.0
Ikot Ekpene,Akwa Ibom,0.0,2025.0
Ini,Akwa Ibom,0.0,2025.0
Itu,Akwa Ibom,0.0,2025.0
Mbo,Akwa Ibom,0.0,2025.0
Mkpat Enin,Akwa Ibom,0.0,2025.0
Nsit Atai,Akwa Ibom,0.0,2025.0
Nsit Ibom,Akwa Ibom,0.0,2025.0
Nsit Ubium,Akwa Ibom,0.0,2025.0
Obot Akara,Akwa Ibom,0.0,2025.0
Okobo,Akwa Ibom,0.0,2025.0
Onna,Akwa Ibom,0.0,2025.0
Oron,Akwa Ibom,0.0,2025.0
Oruk Anam,Akwa Ibom,0.0,2025.0
Udung Uko,Akwa Ibom,0.0,2025.0
Ukanafun,Akwa Ibom,0.0,2025.0
Uruan,Akwa Ibom,0.0,2025.0
Urue Offong/Oruko,Akwa Ibom,0.0,2025.0
Uyo,Akwa Ibom,0.0,2025.0
Aguata,Anambra,0.0,2025.0
Anambra East,Anambra,0.0,2025.0
Anambra West,Anambra,0.0,2025.0
Anaocha,Anambra,0.0,2025.0
Awka North,Anambra,0.0,2025.0
Awka South,Anambra,0.0,2025.0
Ayamelum,Anambra,0.0,2025.0
Dunukofia,Anambra,0.0,2025.0
Ekwusigo,Anambra,0.0,2025.0
Idemili North,Anambra,0.0,2025.0
Idemili South,Anambra,0.0,2025.0
Ihiala,Anambra,0.0,2025.0
Njikoka,Anambra,0.0,2025.0
Nnewi North,Anambra,0.0,2025.0
Nnewi South,Anambra,0.0,2025.0
Ogbaru,Anambra,0.0,2025.0
Onitsha North,Anambra,0.0,2025.0
Onitsha South,Anambra,0.0,2025.0
Orumba North,Anambra,0.0,2025.0
Orumba South,Anambra,0.0,2025.0
Oyi,Anambra,0.0,2025.0
Alkaleri,Bauchi,0.0,2025.0
Bauchi,Bauchi,0.0,2025.0
Bogoro,Bauchi,0.0,2025.0
Dambam,Bauchi,0.0,2025.0
Darazo,Bauchi,0.0,2025.0
Dass,Bauchi,0.0,2025.0
Gamawa,Bauchi,0.0,2025.0
Ganjuwa,Bauchi,0.0,2025.0
Giade,Bauchi,0.0,2025.0
Itas/Gadau,Bauchi,0.0,2025.0
Jama'Are,Bauchi,0.0,2025.0
Katagum,Bauchi,0.0,2025.0
Kirfi,Bauchi,0.0,2025.0
Misau,Bauchi,0.0,2025.0
Ningi,Bauchi,0.0,2025.0
Shira,Bauchi,0.0,2025.0
Tafawa-Balewa,Bauchi,0.0,2025.0
