lganame,statename,Actual_Status,Predicted_Risk,Risk_Prob,Tier
Yenegoa,Bayelsa,0,1,0.8865261944799792,Tier 1: Critical (Immediate Action)
Eti Osa,Lagos,0,1,0.8182900543939178,Tier 1: Critical (Immediate Action)
Eti Osa,Lagos,0,1,0.8182900543939178,Tier 1: Critical (Immediate Action)
Talata Mafara,Zamfara,0,1,0.8175167790252094,Tier 1: Critical (Immediate Action)
Nembe,Bayelsa,0,1,0.7352860117578391,Tier 1: Critical (Immediate Action)
Degema,Rivers,0,1,0.7293868582078123,Tier 1: Critical (Immediate Action)
Kogi,Kogi,0,1,0.7229772958115059,Tier 1: Critical (Immediate Action)
Akuku Toru,Rivers,0,1,0.7153089784644099,Tier 1: Critical (Immediate Action)
Bauchi,Bauchi,0,1,0.7130212803353628,Tier 1: Critical (Immediate Action)
Bauchi,Bauchi,0,1,0.7130212803353628,Tier 1: Critical (Immediate Action)
Igabi,Kaduna,0,1,0.7117665704294965,Tier 1: Critical (Immediate Action)
Warri North,Delta,0,1,0.7034422939164285,Tier 1: Critical (Immediate Action)
Warri North,Delta,0,1,0.7034422939164285,Tier 1: Critical (Immediate Action)
Karu,Nasarawa,0,1,0.6991884917621597,Tier 1: Critical (Immediate Action)
Akko,Gombe,0,1,0.6963709793526057,Tier 1: Critical (Immediate Action)
Kumbotso,Kano,0,1,0.6959508795717564,Tier 1: Critical (Immediate Action)
Bukkuyum,Zamfara,0,1,0.6951458271153385,Tier 1: Critical (Immediate Action)
Bukkuyum,Zamfara,0,1,0.6951458271153385,Tier 1: Critical (Immediate Action)
Mokwa,Niger,0,1,0.6942093828927669,Tier 1: Critical (Immediate Action)
Burutu,Delta,0,1,0.6897358048016454,Tier 1: Critical (Immediate Action)
Pategi,Kwara,0,1,0.6827443230106506,Tier 1: Critical (Immediate Action)
Pategi,Kwara,0,1,0.6827443230106506,Tier 1: Critical (Immediate Action)
Pategi,Kwara,0,1,0.6827443230106506,Tier 1: Critical (Immediate Action)
Ekeremor,Bayelsa,0,1,0.6787162470332287,Tier 1: Critical (Immediate Action)
Dikwa,Borno,0,1,0.6782415459271125,Tier 1: Critical (Immediate Action)
Dikwa,Borno,0,1,0.6782415459271125,Tier 1: Critical (Immediate Action)
Ibi,Taraba,0,1,0.6754010806994322,Tier 1: Critical (Immediate Action)
