lganame,statename,Actual_Status,Predicted_Risk,Risk_Probability
Nembe,Bayelsa,1,1,0.7352860117578391
Southern Ijaw,Bayelsa,1,1,0.6831182359590399
Ekeremor,Bayelsa,1,1,0.6787162470332287
Ogbia,Bayelsa,1,1,0.66706285321326
Gummi,Zamfara,1,1,0.664159314260953
Brass,Bayelsa,1,1,0.6401830619558285
Etung,Cross River,1,1,0.634292728176255
Kaita,Katsina,1,1,0.6176030474814318
Edu,Kwara,1,1,0.4893844406189938
Kolokuma/Opokuma,Bayelsa,1,1,0.4790971785629988
Akpabuyo,Cross River,1,1,0.4678688481537663
Tafawa-Balewa,Bauchi,1,1,0.44567884015767106
Jos North,Plateau,1,1,0.44010020490743074
Lagos Island,Lagos,1,1,0.40886119980462865
Shinkafi,Zamfara,1,1,0.4042465283796097
Yola North,Adamawa,1,1,0.4012262188937504
Damaturu,Yobe,1,1,0.39820505278185153
Bungudu,Zamfara,1,1,0.3966843123733176
Ishielu,Ebonyi,1,1,0.37014955239988245
Bayo,Borno,1,1,0.3688922261423667
Ajeromi/Ifelodun,Lagos,1,1,0.36396471007820963
Dass,Bauchi,1,1,0.3451396132792866
Epe,Lagos,1,1,0.2863297423655757
Gwarzo,Kano,1,1,0.28432186693999895
Bali,Taraba,1,1,0.2796204605712085
Gombe,Gombe,1,1,0.2583918118064447
