lganame,statename,Actual_Status,Predicted_Risk,Risk_Probability
Yenegoa,Bayelsa,0,1,0.8865261944799792
Eti Osa,Lagos,0,1,0.8182900543939178
Eti Osa,Lagos,0,1,0.8182900543939178
Talata Mafara,Zamfara,0,1,0.8175167790252094
Nembe,Bayelsa,0,1,0.7352860117578391
Degema,Rivers,0,1,0.7293868582078123
Kogi,Kogi,0,1,0.7229772958115059
Akuku Toru,Rivers,0,1,0.7153089784644099
Bauchi,Bauchi,0,1,0.7130212803353628
Bauchi,Bauchi,0,1,0.7130212803353628
Igabi,Kaduna,0,1,0.7117665704294965
Warri North,Delta,0,1,0.7034422939164285
Warri North,Delta,0,1,0.7034422939164285
Karu,Nasarawa,0,1,0.6991884917621597
Akko,Gombe,0,1,0.6963709793526057
Kumbotso,Kano,0,1,0.6959508795717564
Bukkuyum,Zamfara,0,1,0.6951458271153385
Bukkuyum,Zamfara,0,1,0.6951458271153385
Mokwa,Niger,0,1,0.6942093828927669
Burutu,Delta,0,1,0.6897358048016454
Pategi,Kwara,0,1,0.6827443230106506
Pategi,Kwara,0,1,0.6827443230106506
Pategi,Kwara,0,1,0.6827443230106506
Ekeremor,Bayelsa,0,1,0.6787162470332287
Dikwa,Borno,0,1,0.6782415459271125
Dikwa,Borno,0,1,0.6782415459271125
Ibi,Taraba,0,1,0.6754010806994322
Municipal Area Council,Fct,0,1,0.6720588281598724
Lapai,Niger,0,1,0.6712184930390892
Numan,Adamawa,0,1,0.6683155657513375
Numan,Adamawa,0,1,0.6683155657513375
Yunusari,Yobe,0,1,0.6657440495270448
Yunusari,Yobe,0,1,0.6657440495270448
Katsina,Katsina,0,1,0.6591627213149678
Katsina,Katsina,0,1,0.6591627213149678
Qua'An Pan,Plateau,0,1,0.6547159389030804
Qua'An Pan,Plateau,0,1,0.6547159389030804
Qua'An Pan,Plateau,0,1,0.6547159389030804
Anambra West,Anambra,0,1,0.6497741066222938
Ajaokuta,Kogi,0,1,0.6489594626719177
Katsina-Ala,Benue,0,1,0.6482089052558984
Ilaje,Ondo,0,1,0.6442340665605394
Ndokwa East,Delta,0,1,0.6401546693276672
Ndokwa East,Delta,0,1,0.6401546693276672
Lafia,Nasarawa,0,1,0.6382004337416958
Shanga,Kebbi,0,1,0.6301644871388189
Shanga,Kebbi,0,1,0.6301644871388189
Shanga,Kebbi,0,1,0.6301644871388189
Shanga,Kebbi,0,1,0.6301644871388189
Odukpani,Cross River,0,1,0.6259415776948695
Odukpani,Cross River,0,1,0.6259415776948695
Akamkpa,Cross River,0,1,0.6207480223770517
Jere,Borno,0,1,0.6203736067864078
Lokoja,Kogi,0,1,0.6190452692733767
Kaita,Katsina,0,1,0.6176030474814318
Nganzai,Borno,0,1,0.6161804454470762
Nganzai,Borno,0,1,0.6161804454470762
Omala,Kogi,0,1,0.6135109359712638
Omala,Kogi,0,1,0.6135109359712638
Dutse,Jigawa,0,1,0.6134835734169009
Yola South,Adamawa,0,1,0.6134487381807924
Yola South,Adamawa,0,1,0.6134487381807924
Konduga,Borno,0,1,0.6122997274864211
Konduga,Borno,0,1,0.6122997274864211
Bakura,Zamfara,0,1,0.6069947995423549
Katcha,Niger,0,1,0.6052643699598864
Katcha,Niger,0,1,0.6052643699598864
Ayamelum,Anambra,0,1,0.598736623263542
Lamurde,Adamawa,0,1,0.5971918628773634
Lagelu,Oyo,0,1,0.5949016527563828
Dandi,Kebbi,0,1,0.5944361065781562
Dandi,Kebbi,0,1,0.5944361065781562
Bokkos,Plateau,0,1,0.5928101833878575
Yabo,Sokoto,0,1,0.5872421951826492
Kosofe,Lagos,0,1,0.586228598619022
Gassol,Taraba,0,1,0.5852488576015004
Makurdi,Benue,0,1,0.5787771269989409
Obubra,Cross River,0,1,0.575739460687695
Obubra,Cross River,0,1,0.575739460687695
Sanga,Kaduna,0,1,0.5689989795315812
Sanga,Kaduna,0,1,0.5689989795315812
Oluyole,Oyo,0,1,0.5642737636009693
Magama,Niger,0,1,0.5588669254137496
Potiskum,Yobe,0,1,0.556455952336035
Potiskum,Yobe,0,1,0.556455952336035
Zaria,Kaduna,0,1,0.551457958015162
Akure South,Ondo,0,1,0.550732639651268
Anka,Zamfara,0,1,0.5471846386045545
Rabah,Sokoto,0,1,0.545893331113676
Gbako,Niger,0,1,0.5430353613780923
Maiha,Adamawa,0,1,0.5426785541740271
Munya,Niger,0,1,0.5419121258261037
Wushishi,Niger,0,1,0.5406971417965509
Gwoza,Borno,0,1,0.5369831507122057
Gwoza,Borno,0,1,0.5369831507122057
Agaie,Niger,0,1,0.536521200610888
Kajuru,Kaduna,0,1,0.5352738372741164
Guri,Jigawa,0,1,0.526236349417259
Guri,Jigawa,0,1,0.526236349417259
Ido,Oyo,0,1,0.5252952798737462
Ido,Oyo,0,1,0.5252952798737462
Ese Odo,Ondo,0,1,0.520371970015148
Shendam,Plateau,0,1,0.5157453961791895
Chibok,Borno,0,1,0.5145614190965021
Chibok,Borno,0,1,0.5145614190965021
Chibok,Borno,0,1,0.5145614190965021
Demsa,Adamawa,0,1,0.5120946012698703
Abi,Cross River,0,1,0.5110276000971825
Abi,Cross River,0,1,0.5110276000971825
Yorro,Taraba,0,1,0.5090237495931188
Yorro,Taraba,0,1,0.5090237495931188
Ogbaru,Anambra,0,1,0.5081687981174056
Ogbaru,Anambra,0,1,0.5081687981174056
Ibeju Lekki,Lagos,0,1,0.504270522323922
Ibeju Lekki,Lagos,0,1,0.504270522323922
Ibeju Lekki,Lagos,0,1,0.504270522323922
Borgu,Niger,0,1,0.4972514935024781
Birnin Magaji-Kiyaw,Zamfara,0,1,0.4972455167348632
Dawakin Kudu,Kano,0,1,0.49717467684162536
Patani,Delta,0,1,0.49653020235591006
Alkaleri,Bauchi,0,1,0.49564692195071464
Guma,Benue,0,1,0.4954814279090111
Owan West,Edo,0,1,0.4953041384302291
Sule Tankarkar,Jigawa,0,1,0.49457084437138266
Ogu Bolo,Rivers,0,1,0.49392709560414416
Ikpoba-Okha,Edo,0,1,0.4938356256271351
Edu,Kwara,0,1,0.4893844406189938
Doma,Nasarawa,0,1,0.4889898612979357
Ardo-Kola,Taraba,0,1,0.48893177702693275
Ardo-Kola,Taraba,0,1,0.48893177702693275
Ardo-Kola,Taraba,0,1,0.48893177702693275
Silame,Sokoto,0,1,0.4882638118608122
Silame,Sokoto,0,1,0.4882638118608122
Silame,Sokoto,0,1,0.4882638118608122
Egbeda,Oyo,0,1,0.4844572294805555
Egbeda,Oyo,0,1,0.4844572294805555
Agwara,Niger,0,1,0.4833296284018636
Agwara,Niger,0,1,0.4833296284018636
Agwara,Niger,0,1,0.4833296284018636
Doguwa,Kano,0,1,0.4831860933786405
Doguwa,Kano,0,1,0.4831860933786405
Doguwa,Kano,0,1,0.4831860933786405
Orhionmwon,Edo,0,1,0.47991840249828494
Kolokuma/Opokuma,Bayelsa,0,1,0.4790971785629988
Lau,Taraba,0,1,0.4783638392588207
Nassarawa,Kano,0,1,0.47653697314888616
Nassarawa,Kano,0,1,0.47653697314888616
Nassarawa,Kano,0,1,0.47653697314888616
Shiroro,Niger,0,1,0.4755920296626192
Kankara,Katsina,0,1,0.4716146448481748
Mushin,Lagos,0,1,0.47150901643483856
Mushin,Lagos,0,1,0.47150901643483856
Mushin,Lagos,0,1,0.47150901643483856
Ogbomosho North,Oyo,0,1,0.4699685724791622
Esan South-East,Edo,0,1,0.4699187152885365
Ogba/Egbema/Ndoni,Rivers,0,1,0.4686000279175342
Ogba/Egbema/Ndoni,Rivers,0,1,0.4686000279175342
Ovia North-East,Edo,0,1,0.4685714058787906
Akpabuyo,Cross River,0,1,0.4678688481537663
Birnin Gwari,Kaduna,0,1,0.4643545102651959
Birnin Gwari,Kaduna,0,1,0.4643545102651959
Birnin Gwari,Kaduna,0,1,0.4643545102651959
Roni,Jigawa,0,1,0.4641926171170461
Tai,Rivers,0,1,0.4640756696165294
Bakassi,Cross River,0,1,0.4634900125850805
Iseyin,Oyo,0,1,0.4633537784866472
Iseyin,Oyo,0,1,0.4633537784866472
Iseyin,Oyo,0,1,0.4633537784866472
Wamba,Nasarawa,0,1,0.46331749034341
Askira Uba,Borno,0,1,0.46327950191444667
Maru,Zamfara,0,1,0.4616018753908827
Maru,Zamfara,0,1,0.4616018753908827
Ikot Abasi,Akwa Ibom,0,1,0.4603982441809222
Okitipupa,Ondo,0,1,0.45721814024837676
Oyo West,Oyo,0,1,0.4570649977084242
Ibeno,Akwa Ibom,0,1,0.4534385683510561
Zuru,Kebbi,0,1,0.4523740141040717
Shira,Bauchi,0,1,0.4500487259542765
Isoko South,Delta,0,1,0.44974749783687296
Afijio,Oyo,0,1,0.4478879514728443
Apapa,Lagos,0,1,0.44615442364199526
Gada,Sokoto,0,1,0.4456806658126884
Marte,Borno,0,1,0.44563469214801776
Hawul,Borno,0,1,0.44503592246474727
Ila,Osun,0,1,0.4442929326285396
Yauri,Kebbi,0,1,0.4441392376340474
Abadam,Borno,0,1,0.4436514060349439
Akwanga,Nasarawa,0,1,0.44297943429436026
Akwanga,Nasarawa,0,1,0.44297943429436026
Akwanga,Nasarawa,0,1,0.44297943429436026
Yamaltu/Deba,Gombe,0,1,0.4424239007864015
Yamaltu/Deba,Gombe,0,1,0.4424239007864015
Kaugama,Jigawa,0,1,0.4422417468474762
Kaugama,Jigawa,0,1,0.4422417468474762
Mbo,Akwa Ibom,0,1,0.44172038735426866
Mbo,Akwa Ibom,0,1,0.44172038735426866
Girei,Adamawa,0,1,0.4401940047000085
Girei,Adamawa,0,1,0.4401940047000085
Bagudu,Kebbi,0,1,0.4401239457536636
Jos North,Plateau,0,1,0.44010020490743074
Jos North,Plateau,0,1,0.44010020490743074
